Quels sont les 3 criteres de selection d'une route, dans l'ordre ?	1) Longest prefix match  2) Distance administrative  3) Metrique
Lequel des 3 criteres de routage ecrase les deux autres ?	Le longest prefix match : il tranche avant l'AD et la metrique
Une statique /16 et une route OSPF /24 couvrent la destination. Laquelle gagne ?	La route OSPF /24 : le prefixe le plus long gagne, le protocole n'entre pas en jeu
Distance administrative d'une route connectee ?	0
Distance administrative d'une route statique ?	1
Distance administrative d'OSPF ?	110
Distance administrative de RIP ?	120
Distance administrative d'eBGP et d'iBGP ?	eBGP 20, iBGP 200
Que fait une route de distance administrative 255 ?	Elle n'est jamais installee : sert a neutraliser une route sans effacer sa configuration
Difference entre RIB et FIB ?	RIB = ce que le routeur sait (plan de controle). FIB/CEF = ce qu'il fait (plan de donnees)
Dans la sortie Cisco [110/138], que valent les deux nombres ?	110 = distance administrative, 138 = metrique. Toujours [AD/metrique]
Que signifie le code O IA dans show ip route ?	Route OSPF inter-area, annoncee par un ABR via une LSA de type 3
Numeros des tables de routage Linux local, main et default ?	local 255, main 254, default 253
Quelle commande donne la decision de routage reelle sous Linux ?	ip route get <IP> : elle applique le LPM et montre next-hop, dev et src
Quel sysctl active le routage IPv4 sous Linux ?	net.ipv4.ip_forward = 1
A quoi sert une route flottante ?	Statique a AD elevee (ex 130) : secours qui ne s'installe que si le protocole dynamique perd le prefixe
Comment la repartition ECMP se fait-elle ?	Par flux, via un hachage (IP src/dst, parfois ports) : jamais paquet par paquet
Quelle difference entre ce qu'echange un vecteur de distance et un etat de liens ?	Le vecteur annonce ses routes a ses voisins, l'etat de liens inonde l'etat de ses liens a toute l'aire
Metrique maximale de RIP, et valeur signifiant inatteignable ?	15 sauts maximum, 16 = infini
Numero de protocole IP d'OSPF ?	89 : OSPF s'appuie directement sur IP, ni TCP ni UDP
Adresses multicast d'OSPF ?	224.0.0.5 AllSPFRouters, 224.0.0.6 AllDRouters
Timers Hello et Dead par defaut sur un lien OSPF broadcast ?	Hello 10 s, Dead 40 s (Dead = 4 x Hello)
Cite les 5 types de paquets OSPF dans l'ordre.	1 Hello, 2 DBD, 3 LSR, 4 LSU, 5 LSAck
Cite les 8 etats d'adjacence OSPF dans l'ordre.	Down, Attempt, Init, 2-Way, ExStart, Exchange, Loading, Full
A quel etat OSPF l'election DR/BDR a-t-elle lieu ?	En 2-Way
Deux routeurs OSPF restent bloques en ExStart : cause la plus probable ?	Un MTU different des deux cotes : OSPF le compare dans les DBD et refuse de continuer
Deux DROTHER restent en 2-Way sur un segment broadcast : est-ce un probleme ?	Non, c'est normal : ils ne s'appairent qu'avec le DR et le BDR
Comment le DR est-il elu ?	Priorite la plus haute (defaut 1, 0 = jamais DR), puis Router ID le plus haut. Election non preemptive
Qui genere une LSA de type 2, et pourquoi ?	Le DR : elle liste les routeurs du segment multi-acces, represente comme un pseudo-noeud
A quoi sert une LSA de type 7 ?	A porter une route externe dans une NSSA ou le type 5 est interdit. L'ABR la convertit en type 5
MaxAge et intervalle de rafraichissement d'une LSA OSPF ?	MaxAge 3600 s (1 h), rafraichissement 1800 s (30 min)
Que peut-on dire des LSDB de deux routeurs d'une meme aire OSPF ?	Elles sont rigoureusement identiques : c'est l'invariant fondamental d'OSPF
Formule du cout OSPF ?	Cout = bande passante de reference / bande passante de l'interface, division entiere, minimum 1
Bande passante de reference OSPF par defaut ?	10 puissance 8 bit/s, soit 100 Mbit/s
Cout OSPF par defaut d'un lien a 10 Gbit/s ? Quel est le probleme ?	1, comme un lien a 100 Mbit/s : OSPF ne peut plus les departager
Difference entre une route externe OSPF E1 et E2 ?	E2 (defaut) = cout externe seul. E1 = cout externe + cout interne jusqu'a l'ASBR
Pourquoi perd-on ses voisins apres avoir configure area 10 stub sur un seul routeur ?	Le flag stub est dans le Hello : tous les routeurs de l'aire doivent l'avoir, sinon pas d'adjacence
Que fait passive-interface en OSPF ?	Elle arrete l'emission des Hello sur l'interface, mais le reseau de cette interface reste annonce
Combien de temps OSPF met-il a detecter un voisin mort dont le lien reste up, et comment fait-on mieux ?	40 s (dead interval). Avec BFD : 150 a 900 ms
Qu'est-ce qu'une VRF ?	Plusieurs tables de routage etanches dans un meme routeur : l'equivalent du VLAN en couche 3
Le peering entre VPC est-il transitif ?	Non : A-B et B-C ne donnent jamais A-C. Il faut un Transit Gateway
Le ping passe mais TCP reste en SYN_SENT : diagnostic le plus probable ?	Routage asymetrique : un pare-feu a etats sur le retour voit un SYN-ACK sans SYN et le jette
Que fait rp_filter en mode strict sous Linux ?	Il jette un paquet entrant si la route de retour vers sa source ne sort pas par la meme interface
Que signifient trois etoiles sur une ligne de traceroute ?	Que ce routeur ne genere pas d'ICMP Time Exceeded, pas que le paquet est perdu
Combien de RTT compte-t-on par 100 km de fibre ?	Environ 1 ms : la lumiere va a 200 000 km/s dans le verre
